Series,Part Number,Name,USD Catalogue,USD Price,CAD Catalogue,CAD Price,Categories,Arm Type,Base Type,Back Material,Back Height,Tilter Prop,Images
Global Accord,2670-2,Upholstered High Back Knee-Tilter,GUS,1587,GLS,1185,Task Seating,With Arms,,Upholstered Back,High Back,Knee-Tilter,TRUE
Global Accord,2670-4,Upholstered High Back Tilter,GUS,1304,GLS,1027,Task Seating,With Arms,,Upholstered Back,High Back,Tilter,TRUE
Global Accord,2671-2,Upholstered Medium Back Knee-Tilter,GUS,1546,GLS,1147,Task Seating,With Arms,,Upholstered Back,Medium Back,Knee-Tilter,TRUE
Global Accord,2671-4,Upholstered Medium Back Tilter,GUS,1264,GLS,988,Task Seating,With Arms,,Upholstered Back,Medium Back,Tilter,TRUE
Global Accord,2672-6,Upholstered Medium Back Stool,GUS,1552,GLS,1177,Stools,With Arms,,Upholstered Back,Medium Back,    ,TRUE
Global Accord,2676-2,Mesh High Back Knee-Tilter,GUS,1718,GLS,1322,Task Seating,With Arms,,Mesh Back,High Back,Knee-Tilter,TRUE
Global Accord,2676-4,Mesh High Back Tilter,GUS,1436,GLS,1164,Task Seating,With Arms,,Mesh Back,High Back,Tilter,TRUE
Global Accord,2677-2,Mesh Medium Back Knee-Tilter,GUS,1663,GLS,1269,Task Seating,With Arms,,Mesh Back,Medium Back,Knee-Tilter,TRUE
Global Accord,2677-4,Mesh Medium Back Tilter,GUS,1380,GLS,1110,Task Seating,With Arms,,Mesh Back,Medium Back,Tilter,TRUE
Global Accord,2678-6,Mesh Medium Back Stool,GUS,1651,GLS,1297,Stools,With Arms,,Mesh Back,Medium Back,    ,TRUE
Global Accord,2670-4PB,"Upholstered High Back Tilter, Pedestal Base",GUS,1536,GLS,1256,Pedestal,With Arms,Pedestal Base,Upholstered Back,High Back,Tilter,TRUE
Global Accord,2671-4PB,"Upholstered Medium Back Tilter, Pedestal Base ",GUS,1495,GLS,1218,Pedestal,With Arms,Pedestal Base,Upholstered Back,Medium Back,Tilter,TRUE
Global Accord,2676-4PB,"Mesh High Back Tilter, Pedestal Base",GUS,1667,GLS,1394,Pedestal,With Arms,Pedestal Base,Mesh Back,High Back,Tilter,TRUE
Global Accord,2677-4PB,"Mesh Medium Back Tilter, Pedestal Base",GUS,1611,GLS,1338,Pedestal,With Arms,Pedestal Base,Mesh Back,Medium Back,Tilter,TRUE
Luray,6460,Upholstered Extended High Back,GUS,1287,GLS,1017,Task Seating,With Arms,,Upholstered Back,Extended High Back,    ,TRUE
Luray,6461,Upholstered High Back,GUS,1249,GLS,984,Task Seating,With Arms,,Upholstered Back,High Back,    ,TRUE
Luray,6462,Upholstered Medium Back,GUS,1211,GLS,952,Task Seating,With Arms,,Upholstered Back,Medium Back,    ,TRUE
Luray,6460PB,"Extended High Back, Pedestal Base",GUS,1517,GLS,1226,Pedestal,With Arms,Pedestal Base,    ,Extended High Back,    ,TRUE
Luray,6461PB,"High Back, Pedestal Base",GUS,1480,GLS,1193,Pedestal,With Arms,Pedestal Base,    ,High Back,    ,TRUE
Luray,6462PB,"Medium Back, Pedestal Base",GUS,1441,GLS,1159,Pedestal,With Arms,Pedestal Base,    ,Medium Back,    ,TRUE
Solar,8456,"Medium Back Mesh Tilter, Asphalt Frame",GUS,1088,GLS,1012,Task Seating,With Arms,,Mesh Back,Medium Back,Tilter,TRUE
Solar,8456NA,"Armless Mesh Seat & Back Tilter, Asphalt Frame",GUS,1044,GLS,962,Task Seating,Armless,,Mesh Back,    ,Tilter,TRUE
Solar,8456S,"Mesh Seat & Back Stool, Asphalt Frame",GUS,1387,GLS,1170,Stools,With Arms,,Mesh Back,    ,    ,TRUE
Solar,8456SNA,"Armless Mesh Seat & Back Stool, Asphalt Frame ",GUS,1343,GLS,1111,Stools,Armless,,Mesh Back,    ,    ,TRUE
Solar,8457,"Mesh Seat & Back Tilter, Alabaster Frame",GUS,1193,GLS,1121,Task Seating,With Arms,,Mesh Back,    ,Tilter,TRUE
Solar,8457NA,"Armless Mesh Seat & Back Tilter, Alabaster Frame",GUS,1150,GLS,1065,Task Seating,Armless,,Mesh Back,    ,Tilter,TRUE
Solar,8457S,"Mesh Seat & Back Stool, Alabaster Frame",GUS,1492,GLS,1274,Stools,With Arms,,Mesh Back,    ,    ,TRUE
Solar,8457SNA,"Armless Mesh Seat & Back Stool, Alabaster Frame",GUS,1448,GLS,1211,Stools,Armless,,Mesh Back,    ,    ,TRUE
Prefer,8458,"Multi-Task Chair, Asphalt Frame & Base",GUS,1234,GLS,1163,Task Seating,With Arms,,    ,    ,    ,TRUE
Prefer,8458NA,"Armless Multi-Task Chair, Asphalt Frame & Base",GUS,1080,GLS,1059,Task Seating,Armless,,    ,    ,    ,TRUE
Prefer,8458S,"Height Adjustable Stool, Asphalt Frame & Base",GUS,1420,GLS,1340,Stools,With Arms,,    ,    ,    ,TRUE
Prefer,8458NAS,"Armless Height Adjustable Stool, Asphalt Frame & Base",GUS,1294,GLS,1238,Stools,Armless,,    ,    ,    ,TRUE
Prefer,8459,"Multi-Task Chair, Alabaster Frame & Base",GUS,1294,GLS,1196,Task Seating,With Arms,,    ,    ,    ,TRUE
Prefer,8459NA,"Armless Multi-Task Chair, Alabaster Frame & Base",GUS,1185,GLS,1094,Task Seating,Armless,,    ,    ,    ,TRUE
Prefer,8459S,"Height Adjustable Stool, Alabaster Frame & Base",GUS,1480,GLS,1374,Stools,With Arms,,    ,    ,    ,TRUE
Prefer,8459NAS,"Armless Height Adjustable Stool, Alabaster Frame & Base",GUS,1360,GLS,1271,Stools,Armless,,    ,    ,    ,TRUE
